event_id,event_date,event_url,location_url,event_venue,event_city,event_state,event_country,show,tour,setlist
17,1965-10-00,/gig:1965-10-00-recreation-hall-fort-monmouth-nj,/venue:recreation-hall-fort-monmouth-nj,Recreation Hall,Fort Monmouth,NJ,USA,,Early Years,
18,1965-10-08,/gig:1965-10-08-i-b-club-howell-nj,/venue:i-b-club-howell-nj,I.B. Club,Howell,NJ,USA,,Early Years,
19,1965-10-00,/gig:1965-10-00-reception-hall-monmouth-county-nj,/venue:reception-hall-monmouth-county-nj,Reception Hall,Monmouth County,NJ,USA,,Early Years,"Moonglow, If You Need Me, I Understand (Just How You Feel), Good Times, Bad Times, Summertime, Sentimental Journey, Never On Sunday, Sidewalk, Unknown Song, In The Mood, Tired Of Waiting For You, 500 Miles, (I Can't Get No) Satisfaction, Wipe Out, Stranger On The Shore, What'd I Say, Moon River, You've Lost That Lovin' Feelin', Walk, Don't Run, What's Your Name, Till There Was You, The Last Time, For Your Love (Yardbirds), Unknown Song, I Got You Babe, The Third Man Theme, In The Still Of The Night, Money (That's What I Want), Play With Fire, Tell Me"
20,1965-10-00,/gig:1965-10-00-state-hospital-marlboro-nj,/venue:state-hospital-marlboro-nj,Marlboro State Hospital,Marlboro,NJ,USA,,Early Years,We Gotta Get Out Of This Place
21,1965-11-13,/gig:1965-11-13-firehouse-hazlet-nj,/venue:firehouse-hazlet-nj,Hazlet Firehouse,Hazlet,NJ,USA,,Early Years,
22,1965-11-00,/gig:1965-11-00-shoprite-freehold-nj,/venue:shoprite-freehold-nj,Shoprite Of Freehold,Freehold,NJ,USA,,Early Years,
23,1965-11-00,/gig:1965-11-00-st-rose-of-lima-school-freehold-nj,/venue:st-rose-of-lima-school-freehold-nj,St. Rose Of Lima School,Freehold,NJ,USA,,Early Years,
24,1965-12-00,/gig:1965-12-00-v-f-w-hall-freehold-nj,/venue:v-f-w-hall-freehold-nj,V.F.W. Hall,Freehold,NJ,USA,,Early Years,
25,1966-01-29,/gig:1966-01-29-keyport-roller-drome-matawan-nj,/venue:keyport-roller-drome-matawan-nj,Matawan-Keyport Roller Drome,Matawan,NJ,USA,,Early Years,
26,1966-02-00,/gig:1966-02-00-chamber-of-commerce-freehold-nj,/venue:western-monmouth-county-chamber-of-commerce-freehold-n,Western Monmouth County Chamber Of Commerce,Freehold,NJ,USA,,Early Years,
27,1966-02-26,/gig:1966-02-26-keyport-roller-drome-matawan-nj,/venue:keyport-roller-drome-matawan-nj,Matawan-Keyport Roller Drome,Matawan,NJ,USA,,Early Years,
28,1966-04-22,/gig:1966-04-22-keyport-roller-drome-matawan-nj,/venue:keyport-roller-drome-matawan-nj,Matawan-Keyport Roller Drome,Matawan,NJ,USA,,Early Years,Mystic Eyes
29,1966-05-00,/gig:1966-05-00-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
30,1966-05-00,/rehearsal:1966-05-00-private-residence-freehold-nj,/venue:vinyard-residence-freehold-nj,Vinyard Residence,Freehold,NJ,USA,,,
31,1966-05-21,/gig:1966-05-21-regional-high-school-freehold-nj,/venue:regional-high-school-freehold-nj,Freehold Regional High School,Freehold,NJ,USA,,Early Years,
32,1966-06-00,/gig:1966-06-00-woodhaven-swim-club-freehold-nj,/venue:woodhaven-swim-club-freehold-nj,Woodhaven Swim Club,Freehold,NJ,USA,,Early Years,
33,1966-07-02,/gig:1966-07-02-surf-n-see-club-sea-bright-nj,/venue:surf-n-see-club-sea-bright-nj,Surf 'N' See Club,Sea Bright,NJ,USA,,Early Years,
34,1966-07-10,/gig:1966-07-10-surf-n-see-club-sea-bright-nj,/venue:surf-n-see-club-sea-bright-nj,Surf 'N' See Club,Sea Bright,NJ,USA,,Early Years,
35,1966-07-25,/gig:1966-07-25-unknown-location-asbury-park-nj,/venue:unknown-location-asbury-park-nj,Business District,Asbury Park,NJ,USA,,Early Years,
36,1966-07-26,/gig:1966-07-26-unknown-location-asbury-park-nj,/venue:unknown-location-asbury-park-nj,Business District,Asbury Park,NJ,USA,,Early Years,
37,1966-07-28,/gig:1966-07-28-arthur-pryor-bandshell-asbury-park-nj,/venue:arthur-pryor-bandshell-asbury-park-nj,Arthur Pryor Bandshell,Asbury Park,NJ,USA,,Early Years,
38,1966-07-29,/gig:1966-07-29-route-35-drive-in-hazlet-nj,/venue:route-35-drive-in-hazlet-nj,Loew's 35 Drive-In,Hazlet,NJ,USA,,Early Years,
39,1966-08-06,/gig:1966-08-06-harris-gardens-firehouse-union-beach-nj,/venue:harris-gardens-firehouse-union-beach-nj,Harris Gardens Firehouse,Union Beach,NJ,USA,,Early Years,
40,1966-08-14,/gig:1966-08-14-surf-n-see-club-sea-bright-nj,/venue:surf-n-see-club-sea-bright-nj,Surf 'N' See Club,Sea Bright,NJ,USA,,Early Years,
41,1966-08-21,/gig:1966-08-21-surf-n-see-club-sea-bright-nj,/venue:surf-n-see-club-sea-bright-nj,Surf 'N' See Club,Sea Bright,NJ,USA,,Early Years,
42,1966-09-00,/gig:1966-09-00-freewood-acres-fire-dept-hall-howell-nj,/venue:freewood-acres-fire-dept-hall-howell-nj,Freewood Acres Fire Dept. Hall,Howell,NJ,USA,,Early Years,
43,1966-09-00,/gig:1966-09-00-catholic-high-school-red-bank-nj,/venue:catholic-high-school-red-bank-nj,Red Bank Catholic High School,Red Bank,NJ,USA,,Early Years,
44,1966-09-17,/gig:1966-09-17-surf-n-see-club-sea-bright-nj,/venue:surf-n-see-club-sea-bright-nj,Surf 'N' See Club,Sea Bright,NJ,USA,,Early Years,
45,1966-10-01,/gig:1966-10-01-hullabaloo-middletown-nj,/venue:hullabaloo-middletown-nj,Hullabaloo,Middletown,NJ,USA,,Early Years,
46,1966-10-00,/gig:1966-10-00-st-rose-of-lima-school-freehold-nj,/venue:st-rose-of-lima-school-freehold-nj,St. Rose Of Lima School,Freehold,NJ,USA,,Early Years,
47,1966-10-16,/gig:1966-10-16-v-f-w-hall-middletown-nj,/venue:v-f-w-hall-middletown-nj,V.F.W. Hall,Middletown,NJ,USA,,Early Years,
48,1966-11-00,/gig:1966-11-00-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,My Generation
49,1966-11-03,/gig:1966-11-03-hullabaloo-middletown-nj,/venue:hullabaloo-middletown-nj,Hullabaloo,Middletown,NJ,USA,,Early Years,
50,1966-11-26,/gig:1966-11-26-hullabaloo-middletown-nj,/venue:hullabaloo-middletown-nj,Hullabaloo,Middletown,NJ,USA,,Early Years,
51,1966-12-00,/gig:1966-12-00a-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
52,1966-12-00,/gig:1966-12-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
53,1966-12-03,/gig:1966-12-03-keyport-roller-drome-matawan-nj,/venue:keyport-roller-drome-matawan-nj,Matawan-Keyport Roller Drome,Matawan,NJ,USA,,Early Years,
54,1966-12-22,/gig:1966-12-22-hullabaloo-middletown-nj,/venue:hullabaloo-middletown-nj,Hullabaloo,Middletown,NJ,USA,,Early Years,
55,1966-12-23,/gig:1966-12-23-american-hotel-freehold-nj,/venue:american-hotel-freehold-nj,American Hotel,Freehold,NJ,USA,,Early Years,
56,1967-01-00,/gig:1967-01-00a-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
57,1967-01-00,/gig:1967-01-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
58,1967-02-00,/gig:1967-02-00a-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
59,1967-02-00,/gig:1967-02-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
60,1967-03-10,/gig:1967-03-10-hullabaloo-middletown-nj,/venue:hullabaloo-middletown-nj,Hullabaloo,Middletown,NJ,USA,,Early Years,
61,1967-03-18,/gig:1967-03-18-cage-middletown-nj,/venue:cage-middletown-nj,The Cage,Middletown,NJ,USA,,Early Years,
62,1967-03-00,/gig:1967-03-00a-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
63,1967-03-00,/gig:1967-03-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
64,1967-04-00,/gig:1967-04-00-st-rose-of-lima-school-freehold-nj,/venue:st-rose-of-lima-school-freehold-nj,St. Rose Of Lima School,Freehold,NJ,USA,,Early Years,
65,1967-04-00,/gig:1967-04-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
66,1967-04-00,/gig:1967-04-00c-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
67,1967-05-00,/gig:1967-05-00-high-school-howell-nj,/venue:high-school-howell-nj,Howell High School,Howell,NJ,USA,,Early Years,
68,1967-05-00,/gig:1967-05-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
69,1967-05-00,/gig:1967-05-00c-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
70,1967-06-00,/gig:1967-06-00a-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
71,1967-06-00,/gig:1967-06-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
72,1967-06-09,/gig:1967-06-09-regional-high-school-freehold-nj,/venue:regional-high-school-freehold-nj,Freehold Regional High School,Freehold,NJ,USA,,Early Years,
73,1967-07-02,/gig:1967-07-02-see-n-surf-club-sea-bright-nj,/venue:see-n-surf-club-sea-bright-nj,See 'N' Surf Club,Sea Bright,NJ,USA,,Early Years,
74,1967-07-00,/gig:1967-07-00a-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
75,1967-07-00,/gig:1967-07-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
76,1967-07-25,/gig:1967-07-25-camp-arrowhead-marlboro-nj,/venue:camp-arrowhead-marlboro-nj,Camp Arrowhead,Marlboro,NJ,USA,,Early Years,
77,1967-08-00,/gig:1967-08-00a-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
78,1967-08-00,/gig:1967-08-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
79,1967-08-00,/gig:1967-08-00-unknown-location-howell-nj,/venue:unknown-location-howell-nj,Private Property,Howell,NJ,USA,,Early Years,
80,1967-08-12,/gig:1967-08-12-see-n-surf-club-sea-bright-nj,/venue:see-n-surf-club-sea-bright-nj,See 'N' Surf Club,Sea Bright,NJ,USA,,Early Years,
81,1967-09-00,/gig:1967-09-00-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
82,1967-09-16,/gig:1967-09-16-left-foot-freehold-nj,/venue:left-foot-freehold-nj,The Left Foot,Freehold,NJ,USA,,Early Years,"Fire (cover), See My Friends, Catch The Wind, Omaha, Steve's Song, Jeff's Boogie, Purple Haze, Get Out Of My Life, Woman, Hold On, I'm Comin', You Can't Judge A Book By The Cover, Eleanor Rigby, Suzanne, Jeff's Boogie"
83,1967-09-22,/gig:1967-09-22-west-school-freehold-nj,/venue:west-freehold-school-freehold-nj,West Freehold School,Freehold,NJ,USA,,Early Years,
84,1967-09-30,/gig:1967-09-30-left-foot-freehold-nj,/venue:left-foot-freehold-nj,The Left Foot,Freehold,NJ,USA,,Early Years,"Circus March, One By One, The Letter, Mr. Jones, San Franciscan Nights, Omaha, Hey Joe, My Generation, Look Into My Window, With A Little Help From My Friends, Wake Me, Shake Me, Morning Dew, To Love Somebody"
85,1967-10-00,/gig:1967-10-00-christian-brothers-academy-lincroft-nj,/venue:christian-brothers-academy-lincroft-nj,Christian Brothers Academy,Lincroft,NJ,USA,,Early Years,
86,1967-10-00,/gig:1967-10-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
87,1967-10-00,/gig:1967-10-00c-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
88,1967-10-07,/gig:1967-10-07-community-center-middletown-nj,/venue:community-center-middletown-nj,Middletown Community Center,Middletown,NJ,USA,,Early Years,
89,1967-11-00,/gig:1967-11-00-first-presbyterian-church-freehold-nj,/venue:first-presbyterian-church-freehold-nj,First Presbyterian Church,Freehold,NJ,USA,,Early Years,
90,1967-11-00,/gig:1967-11-00a-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
91,1967-11-00,/gig:1967-11-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
92,1967-11-24,/gig:1967-11-24-regional-high-school-freehold-nj,/venue:regional-high-school-freehold-nj,Freehold Regional High School,Freehold,NJ,USA,,Early Years,
93,1967-12-00,/gig:1967-12-00a-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
94,1967-12-00,/gig:1967-12-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
95,1967-12-22,/gig:1967-12-22-ocean-side-surf-club-sea-bright-nj,/venue:ocean-side-surf-club-sea-bright-nj,Ocean Side Surf Club,Sea Bright,NJ,USA,,Early Years,
96,1967-12-27,/gig:1967-12-27-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,"Eleanor Rigby, (We Ain't Got) Nothin' Yet, Break On Through (To The Other Side), The End"
97,1968-01-00,/gig:1968-01-00a-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
98,1968-01-00,/gig:1968-01-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
99,1968-01-26,/gig:1968-01-26-left-foot-freehold-nj,/venue:left-foot-freehold-nj,The Left Foot,Freehold,NJ,USA,,Early Years,
100,1968-02-00,/gig:1968-02-00a-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
101,1968-02-00,/gig:1968-02-00b-cafe-wha-new-york-city-ny,/venue:cafe-wha-new-york-city-ny,Café Wha?,New York City,NY,USA,,Early Years,
102,1968-02-23,/gig:1968-02-23-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
103,1968-03-02,/gig:1968-03-02-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
104,1968-03-10,/gig:1968-03-10-hullabaloo-freehold-nj,/venue:hullabaloo-freehold-nj,Hullabaloo,Freehold,NJ,USA,,Early Years,
105,1968-03-22,/gig:1968-03-22-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
106,1968-04-00,/gig:1968-04-00-hullabaloo-freehold-nj,/venue:hullabaloo-freehold-nj,Hullabaloo,Freehold,NJ,USA,,Early Years,
107,1968-04-26,/gig:1968-04-26-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
108,1968-05-00,/gig:1968-05-00-off-broad-street-red-bank-nj,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,,Non-tour Shows,"Sunline, Slum Sentiments, New York Morning Love, Alone, Death Of A Good Man, Until The Rain Comes, Inside The Castle Walls, Upon This Day, For Never Asking, The Virgin Flower, A Winter's Revelation (In 9 Illusions), The Window, Crystal, The War Song, Clouds"
109,1968-05-00,/gig:1968-05-00-left-foot-freehold-nj,/venue:left-foot-freehold-nj,The Left Foot,Freehold,NJ,USA,,Early Years,
110,1968-05-11,/gig:1968-05-11-hullabaloo-freehold-nj,/venue:hullabaloo-freehold-nj,Hullabaloo,Freehold,NJ,USA,,Early Years,
111,1968-06-06,/gig:1968-06-06-hullabaloo-freehold-nj,/venue:hullabaloo-freehold-nj,Hullabaloo,Freehold,NJ,USA,,Early Years,
112,1968-06-08,/gig:1968-06-08-hullabaloo-middletown-nj,/venue:hullabaloo-middletown-nj,Hullabaloo,Middletown,NJ,USA,,Early Years,
113,1968-06-18,/gig:1968-06-18-ymca-long-branch-nj,/venue:ymca-long-branch-nj,YMCA,Long Branch,NJ,USA,,Early Years,
114,1968-06-19,/gig:1968-06-19-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
115,1968-06-22,/gig:1968-06-22-off-broad-street-red-bank-nj-early,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Early,Early Years,
116,1968-06-22,/gig:1968-06-22-off-broad-street-red-bank-nj-late,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Late,Early Years,
117,1968-06-28,/gig:1968-06-28-west-end-casino-long-branch-nj,/venue:west-end-casino-long-branch-nj,West End Casino,Long Branch,NJ,USA,,Early Years,
118,1968-06-29,/gig:1968-06-29-hullabaloo-freehold-nj,/venue:hullabaloo-freehold-nj,Hullabaloo,Freehold,NJ,USA,,,
119,1968-07-05,/gig:1968-07-05-west-end-casino-long-branch-nj,/venue:west-end-casino-long-branch-nj,West End Casino,Long Branch,NJ,USA,,Early Years,
120,1968-07-06,/gig:1968-07-06-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
121,1968-07-12,/gig:1968-07-12-hullabaloo-freehold-nj,/venue:hullabaloo-freehold-nj,Hullabaloo,Freehold,NJ,USA,,Early Years,
122,1968-07-17,/gig:1968-07-17-off-broad-street-red-bank-nj-early,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Early,Early Years,
123,1968-07-17,/gig:1968-07-17-off-broad-street-red-bank-nj-late,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Late,Early Years,
124,1968-07-24,/gig:1968-07-24-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
125,1968-08-09,/gig:1968-08-09-off-broad-street-red-bank-nj-early,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Early,Early Years,
126,1968-08-09,/gig:1968-08-09-off-broad-street-red-bank-nj-late,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Late,Early Years,
127,1968-08-10,/gig:1968-08-10-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
128,1968-08-16,/gig:1968-08-16-off-broad-street-red-bank-nj-early,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Early,Early Years,
129,1968-08-16,/gig:1968-08-16-off-broad-street-red-bank-nj-late,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Late,Early Years,
130,1968-08-24,/gig:1968-08-24-v-f-w-reception-hall-brooklyn-ny,/venue:v-f-w-reception-hall-brooklyn-ny,V.F.W Reception Hall,Brooklyn,NY,USA,,Early Years,
131,1968-08-27,/gig:1968-08-27-camp-arrowhead-marlboro-nj,/venue:camp-arrowhead-marlboro-nj,Camp Arrowhead,Marlboro,NJ,USA,,Early Years,
132,1968-09-00,/gig:1968-09-00-ocean-county-college-toms-river-nj,/venue:ocean-county-college-toms-river-nj,Ocean County College,Toms River,NJ,USA,,Early Years,"Fire (cover), Get Out Of My Life, Woman, Shapes Of Things, Dear Mr. Fantasy, Outside Woman Blues, SWLABR, Crossroads, Politician, Spoonful, Toad, Sunshine Of Your Love, Purple Haze, Foxy Lady, Slow Blues In G, Fast Blues Break In G, The War Drags On, Sittin' On Top Of The World, Help Me, Smokestack Lightning, I'm A Man, Hoochie Coochie Man, Jeff's Boogie, The Morning: Another Morning, Ride On, Baby, Born To Be Wild, Back Door Man"
133,1968-09-13,/gig:1968-09-13-off-broad-street-red-bank-nj-early,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Early,Early Years,
134,1968-09-13,/gig:1968-09-13-off-broad-street-red-bank-nj-late,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Late,Early Years,
135,1968-09-20,/gig:1968-09-20-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
136,1968-09-28,/gig:1968-09-28-off-broad-street-red-bank-nj-early,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Early,Early Years,"Fly Against The Wind, Hey Joe, It's Too Late, The Earth Is Broken, Carnival Song, Troubadour, Wayfaring Stranger, Inside The Castle Walls, If I Needed Someone"
137,1968-09-28,/gig:1968-09-28-off-broad-street-red-bank-nj-late,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Late,Early Years,
138,1968-10-00,/gig:1968-10-00-ocean-county-college-toms-river-nj,/venue:ocean-county-college-toms-river-nj,Ocean County College,Toms River,NJ,USA,,Early Years,
139,1968-10-12,/gig:1968-10-12-hullabaloo-freehold-nj,/venue:hullabaloo-freehold-nj,Hullabaloo,Freehold,NJ,USA,,Early Years,
140,1968-10-19,/gig:1968-10-19-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
141,1968-11-06,/gig:1968-11-06-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
142,1968-11-22,/gig:1968-11-22-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
143,1968-11-00,/gig:1968-11-00-off-broad-street-red-bank-nj,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,,,
144,1968-12-00,/gig:1968-12-00-fillmore-east-new-york-city-ny,/venue:fillmore-east-new-york-city-ny,Fillmore East,New York City,NY,USA,,Early Years,
145,1968-12-20,/gig:1968-12-20-off-broad-street-red-bank-nj-early,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Early,Early Years,
146,1968-12-20,/gig:1968-12-20-off-broad-street-red-bank-nj-late,/venue:off-broad-street-coffee-house-red-bank-nj,Off Broad Street Coffee House,Red Bank,NJ,USA,Late,Early Years,
147,1968-12-27,/gig:1968-12-27-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
148,1968-12-28,/gig:1968-12-28-crystal-ballroom-new-york-city-ny,/venue:crystal-ballroom-new-york-city-ny,Crystal Ballroom,New York City,NY,USA,,Early Years,
149,1969-01-00,/gig:1969-01-00-ocean-county-college-toms-river-nj,/venue:ocean-county-college-toms-river-nj,Ocean County College,Toms River,NJ,USA,,Early Years,
150,1969-01-17,/gig:1969-01-17-teendezvous-new-shrewsbury-nj,/venue:teendezvous-new-shrewsbury-nj,Le Teendezvous,New Shrewsbury,NJ,USA,,Early Years,
